doi,sentence
10/1038_s41467_025_59078_6_highentropy_sulfoselenide_as_negative_electrodes,"Additionally, the calculated adsorption energies (inset in Fig. 3f) reveal that HESSe exhibits higher adsorption energy compared to CuS, further demonstrating that the highentropy structure imparts stronger sodium ion adsorption capability to the electrode material, thereby improving its sodium storage the fast-charging behavior and cycling stability of HESSe."
10/1038_s41467_024_47415_0_activating_reversible_carbonate_reactions_in,"Here, we report on the use of ambient air as a fuel in a Nasicon (Na 3 Zr 2 Si 2 PO 12 ) solid electrolyte(SE)-based Na-air battery requiring no additional devices by exploiting reversible Na 2 CO 3 • xH 2 O (x = 0 or 1) reactions during cycling, leading to the highest operating voltage (~3.4 V) among metal-air batteries based on metal oxides or carbonate/ hydroxide reactions."
10/1038_s41467_023_40669_0_design_principles_for_nasicon_superionic,"A subset of the predicted compositions is experimentally explored, leading to the successful synthesis of eight NASICONs."
10/1039_c4ee03361b_highperformance_symmetric_sodiumion_batteries_using,"This full symmetric cell will greatly contribute to the development of room-temperature sodium-ion batteries towards safety, low cost, long life, and will stimulate further research on symmetric cells using the same active materials as both cathode and anode."
10/1039_d4nr04916k_ferroelectricity_enhances_ion_migration_in,"The coulombic efficiencies of all three samples approach 100% after 20 cycles of activation, suggesting that the hard carbon in the three samples is similar."
10/1038_s41597_025_05799_8_dataset_exploring_the_atomic_scale,"However, the phase space of potential dopants for Na-ion polyanionic cathode materials is vast and remains largely unexplored in existing databases."
10/3389_fenrg_2022_897755_benefits_and_development_challenges_for,"In NIB chemistry, anodes have received less attention compared to cathode chemistry, leaving hard carbon as a primary anode material, although its intercalation/adsorption mechanism limits the allowed number of Na-ions."
10/1007_s40820_019_0311_z_boosting_sodium_storage_of_fe1xsmos2,"Herein, we design a Fe 1-x S/MoS 2 heterostructure with abundant ""ion reservoir"" to provide fast Na + diffusion channels and interpret specifically the correlation between heterointerface and sodium ion diffusion."
10/1016_j_jpowsour_2020_228417_optimization_of_the_compositions_of,"The average working potential of the cathode was ~3 V, with charge/discharge curves exhibiting similar behavior to that of NASICON NaFe 2 (PO 4 )(SO 4 ) 2 ."
10/4028_p_n3dhjr_study_of_addition_metal_ti,NASICON is a sodium super ionic conductor that it could be as solid electrolyte batteries.
10/1039_d5sc01550b_a_universal_strategy_for_bridging,"S19a † indicates the P2-type phase of NaFM-F, and the crystal parameters derived from the Rietveld renement results (Fig."
10/3389_fchem_2018_00174_reduced_graphene_oxide_decorated_na3v2po43,Layer-bylayer Na 3 V 2 (PO 4 ) 3 embedded in reduced graphene oxide as superior rate and ultralong-life sodium-ion battery cathode.
10/1039_d5se00172b_chemically_prelithiatedsodiated_reduced_graphene_oxideantimony,"These peaks correspond to the conversion reactions between antimony oxide and sodium ions. In contrast, the PS-MrGO/Na x Sb 2 O 3 electrode does not show distinct reduction peaks during the rst cycle and displays broader peaks compared to the MrGO/Sb 2 O 3 electrode."
10/20517_energymater_2024_306_recent_research_progress_in_the,The doping elements can be classified into three categories based on differences in the substitutional sites: sodium ion site substitution; vanadium ion site substitution; anion site substitution.
10/1039_d4nr04916k_ferroelectricity_enhances_ion_migration_in,"The broadening of this peak suggests a disordered carbon lattice, which is commonly observed in hard carbon. 30,31 The diffraction peak located at 2θ = 45.25°for t-BTO as depicted in Fig."
10/1038_s41467_025_57663_3_understanding_capacity_fading_from_structural,"These electrodes frequently exhibit unbalanced intercalation and deintercalation of sodium ions, resulting in unstable structural behavior on the macroscopic and microscopic levels 26,27 ."
10/1002_aenm_202303833_review_insights_on_hard_carbon,"The choice of the precursor (e.g., different varieties of biomass, biopolymers, synthetic precursors, etc.) for hard carbon synthesis plays a critical role in their electrochemical performance due to the difference in the carbon microstructure as well as variations in biomass chemical composition and inorganic impurities present in the precursors 280 ."
10/1039_d1ma00613d_enhancing_the_performance_of_hard,"Silicon nitride/oxycarbide -hard carbon composites were produced by first reacting cellulose with SiCl 4 , and then carbonising the dry mixture at high temperature."
10/1039_d0ee01363c_a_revised_mechanistic_model_for,"Furthermore, the plateau capacity derived from pore filling is not independent of the structural characteristics associated with sloping capacity; as the graphitic interlayer spacings decrease, there are fewer diffusion pathways allowing sodium ions to reach the pores, rendering them inaccessible for sodium storage."
10/1039_d4ra05104a_coalbased_graphene_derived_from_different,"The unique microstructure of CrGO provides stability during the sodium storage process and exhibits fast ion capacitive adsorption behavior, enhancing reaction kinetics."
10/1039_c6ta05030a_extending_the_cycle_life_of,"Similar to Li-ion batteries, the capacity of Na-ion batteries is cathode-limited."
10/1038_ncomms7929_na_intercalation_pseudocapacitance_in_graphenecoupled,"Furthermore, the sodium ion storage is mainly below 1.5 V with an average discharging voltage plateau at B0.8 V, much lower than those in a lithium cell (1.5 V for TiO 2 -B and 1.75 V for anatase TiO 2 )."
10/1038_srep26246_enhanced_performance_by_enlarged_nanopores,The main strategies for afore-mentioned materials are hierarchically pores structures or enlarged interlayer lattice distance which favor for the Na-ion transport and storage.
10/1038_s41467_019_09170_5_nasicontype_airstable_and_allclimate_cathode,The critical factor for a NASICON-type structure is the arrangement of sodium sites and whether the 3D diffusion pathways of Na + can be accessed with relatively low energy barriers.
10/3389_fenrg_2019_00028_roles_of_ti_in_electrode,"Prussian blue analogs are attractive cathodes for sodium-ion batteries due to their open channel-like structure, compositional and electrochemical tenability."
10/1039_d4ta05669h_unlocking_recent_progress_in_niobium,"Hence, introducing transition metal suldes, oxides, and 2D MOFs into the MXene matrix improves surface wettability, redox kinetics, active charge sites, electronic conductivity, surface area, coulombic efficiency, and SIB reversibility."
10/1016_j_ccr_2025_216912_synergistic_role_of_transition_metals,"These extraordinary results are the outcome of the robust structure having the corner sharing VO 6 octahedra and P 2 O 7 units, which form large tunnels that act as 3D pathways for sodium ion diffusion."
10/1039_d5sc03041b_synergistic_intercalationconversion_reaction_mechanism_in,"Two distinct cathodic peaks at 2.59 V and 3.46 V correspond to a two-step sodium storage mechanism involving the reduction of Pb 2+ to Pb 0 , accompanied by Na 4 Fe(CN) 6 generation. 36 Conversely, the anodic scan reveals two oxidation peaks at 1.35 V and 3.36 V, conrming the reversible nature of these redox transitions."
10/1038_s41467_024_47415_0_activating_reversible_carbonate_reactions_in,The Nasicon SE-based Na-air cell was electrochemically cycled for 10 cycles in open air with 70% relative humidity (RH) at 25 °C (Fig. 2a).
10/1039_d2ra05514g_development_of_vang_danh_anthracite,"In principle, a rechargeable Na-ion battery operating is similar to a Li-ion battery, which is based on ion insertion/extraction between the anode and cathode materials."
10/1038_s41467_023_40669_0_design_principles_for_nasicon_superionic,"In summary, through experiments, text-mined literature data, and ab-initio modeling, we have quantified the relationship between the various composition variables of NASICON compounds and the Na-ion conductivity."
10/1021_acsami_2c07383_halogenated_carboxylates_as_organic_anodes,"Organic materials are competitive as anodes for Na-ion batteries (NIBs) due to the low cost, abundance, environmental benignity, and high sustainability."
10/1038_s41467_025_59223_1_regulating_na_content_and_mn,"Finally, a high-voltage aqueous full cell composed of NaMnO 2 •0.1H 2 O electrode and Na x H 2-x Ti 2 O 5 electrode is constructed, achieving a wide ESW of ~3.0 V with a high specific energy of 117.1 Wh kg -1 at a specific power of 117.5 W kg -1 ."
10/1039_c8ta07313a_selfstanding_nasicontype_electrodes_with_high,"Finally, on the basis of the results of feasibility tests, the self-standing NTP/CNFs and NVP/CNFs electrodes with high mass loadings and the corresponding all-phosphate SIB are proven to be promising for practical applications."
10/5796_electrochemistry_25_00044_role_of_ductile_materials_in,The high-frequency region of the Nyquist plot of the NASICON/ NYZC/NASICON symmetric cell is shown in Fig. 3b.
10/33961_jecst_2019_00633_triclinic_na312co244p2o72_as_a_high,"Recently, Na-ion batteries have been considered as a promising alternative to Li-ion batteries because abundance in sodium precursors can lead to a cost reduction ."
10/54097_gcheev16_enhancing_sodiumion_battery_performance_a,"Layered metal oxides, such as NaMnO₂, represent a class of cathode materials with considerable promise."
10/5796_electrochemistry_19_00073_reversible_and_highrate_hard_carbon,"The hard carbon electrodes were charged in advance to 0.01 V after one cycle in half cells, then recovered under Ar atmonsphere, and reused to assemble the symmetric cell with the same electrolytes."
10/1021_acs_jpcc_5b03286_energetics_of_ion_transport_in,"In framework conductors like these NASICON materials, we consider ΔH gap to represent the difference in the depths of the energy wells at the M1 and M2 sites."
10/1038_s41467_024_54317_8_understanding_pillar_chemistry_in_potassiumcontaining,"Therefore, for a more promising anode of KTiOPO 4 , a solid understanding of the sodium storage mechanisms necessitates rigorous electrochemical analyses based on ""simplex"" electrode models that can avoid the interference of binders and additives in conventional electrodes, coupled with multimodal and intuitively observable characterizations."
10/5796_electrochemistry_18_00069_optimizing_micrometersized_sn_powder_composite,"By optimization of the electrode preparation condition, we successfully enhanced the micro-Sn electrode performance for the application of Na-ion batteries."
10/3389_fchem_2024_1440639_synthesis_and_electrochemical_studies_of,"The cathode material was prepared using NaCoPO 4 , acetylene black, and polytetrafluoroethylene (PTFE) binder at a ratio of 70:20: 10, and the mixture was grounded well in a mortar."
10/1039_d3cc04722a_nasub2subfesub2subsesub2subo_a_double_antiperovskite_with,"Since this kind of transition is a characteristic for covalently bonded selenium, we can assume that during the charge process of Na 2 Fe 2 Se 2 O, selenium oxidizes to its elemental state, and intercalation of sodium ions into electrochemically formed Se may occur during discharge."
10/1039_d4mh01118j_hard_carbon_from_a_sugar,The predicted outcomes from the C-H-O ternary phase diagram lead to the development of hard carbon with the desired properties.
10/1039_d4ee05110f_integrated_polyanionlayered_oxide_cathodes_enabling,"The practical application of Na 3 V 2 (PO 4 ) 3 , a polyanionic cathode for sodium-ion batteries, is constrained by its poor electronic conductivity, limited specific capacity, and slow kinetics."
10/5796_electrochemistry_19_00073_reversible_and_highrate_hard_carbon,"Based on the comparative study of various salts in DME, the NaBPh 4 electrolyte can stabilize the hard carbon/electrolyte interface better than other fluorinated salts, such as NaPF 6 , NaFSA, and NaTFSA, suggesting that fluorine components are not indispensable in SEI to stabilize the interface."
10/1039_d3ta05182j_proton_conductor_nasiconstructure_lisub1ixisubcdsubixi2subzrsub2ixi2subposub4subsub3sub_as,The essential structural feature of rigid and three-dimensional NASICON materials is an interconnected interstitial space that is occupied by mobile Li + ions. These mobile lithium ions can migrate freely and exhibit certain ion conduction properties at room temperature.
10/12693_aphyspola_139_621_theoretical_investigation_of_csub3subn_monolayer,Our computations showed that the C 3 N monolayer is indeed a potential anode material for Li-and Na-ion batteries.
10/1039_d3sc01453c_threedimensional_heterogeneity_in_liquid_electrolyte,"A previous study demonstrated that the solvent reorganization from optimal intermolecular interactions reinforced the long-range solution network and thus enabled the improved performance of Na-ion batteries. 32 Currently, fundamental understandings of solvation structures are largely lacking for Na-ion batteries, which restricts the development of high-performance Na-ion batteries."
10/1038_s41467_025_58637_1_highenergy_and_longlife_o3type_layered,"Owing to the superior Na storage performance of NFMMT/ NaCaPO 4 in Na half cells, this cathode was integrated into Na-ion full cells (with commercial hard carbon (HC) anodes) and anode-free cells (with carbon-coated Al (Al-C) negative-electrode current collectors) to assess its practical applicability 51 ."
10/5796_electrochemistry_84_705_natiltsubgt2ltsubgtpoltsubgt4ltsubgtltsubgt3ltsubgtcarbon_and_natiltsubgt2ltsubgtpoltsubgt4ltsubgtltsubgt3ltsubgtgraphite_composites_as,Positions and intensities of the diffraction peaks of the three samples are consistent with the NASICON-type structure with the Rc space group (ICDD #33-1296).
10/1038_s41467_019_11925_z_conductive_carbon_nanofiber_interpenetrated_graphene,The elemental map of Na can be ascribed to the sodium ions being adsorbed via chemical redox reactions.
10/1051_bioconf_202412906029_nanoscale_structural_and_spectroscopic_characterization,TEM samples were prepared by dispersing hard carbon powders in ethanol and drop-casting solution onto a holey carbon film grid.
10/1038_s41467_024_47415_0_activating_reversible_carbonate_reactions_in,"The screen-printing process proceeded by printing a Nasicon paste with pore former on the sintered Nasicon, and then heating the screen-printed sample."
10/1021_acsaem_3c02994_can_a_coating_mitigate_molten,"To accommodate these high current densities, the concentration gradient across the cell would have gradually increased leading to the ""arc-and-plateau"" feature observed in the NaSICON-500 cell."
10/1007_s43979_023_00053_9_research_progresses_in_o3type_nifemn,"Recently, Lin et al. . also reported a high-entropy O3-type cathode, containing similar chemical composition."
10/1039_d3ra01301d_hard_carbon_microspheres_with_bimodal,The spectra of the HCMS exhibit no signicant features due to the absence of functional groups in of the oxygen decient hard carbon structure.
10/3389_fenrg_2021_689416_cosintering_study_of_na067ni01fe01mn08o2_and,"In conclusion, NNFM appears to be a promising candidate for fabricating mixed cathodes for all-solidstate sodium-ion battery as it can be co-sintered together with most promising NASICON type NZSiP."
10/1039_d0ra03212c_peatderived_hard_carbon_electrodes_with,"The peat moss derived carbon previously used in SIB application has demonstrated capacities up to 275 mA h g À1 , with a plateau of 180 mA h g À1 below 0.2 V vs."
10/1039_d4mh01118j_hard_carbon_from_a_sugar,"Specifically, a high amount of bulk microporosity is anticipated to enhance the diffusioncontrolled sodium storage mechanism of HMF-HC."
10/1016_j_mtchem_2022_101316_a_new_high_voltage_alluaudite,"The working electrode and lithium/sodium metal foil (as counter electrode) were separated by a sheet of Whatman GF/C glass fiber separator soaked with freshly prepared 1 M NaClO 4 in propylene carbonate (PC) electrolyte for SIB and commercial 1 M LiPF 6 in EC/PC/ DMC (1:1:1, Kishida Chemicals) for LIB."
10/1038_srep25556_hierarchical_hollow_fe2o3mil101fec_derived_from,"And thus, the current SIBs face severe challenges from low energy density and poor cycling stability since sodium intercalation induces anisotropic volume expansion, which triggers large voltage polarization and insufficient contact with the current collector."
10/1039_d5eb00121h_lowtemperature_sodiumion_batteries_challenges_engineering,Fundamental understanding of low-temperature mechanisms Recent research has established a comprehensive framework for understanding the complex interplay between thermodynamic and kinetic factors that govern SIB performance at low temperatures.
10/1038_s43246_024_00569_2_stabilization_of_p2_layered_oxide,"The excess cathode material, which remains inactive along further electrochemical cycles, significantly reduces the SIB energy density while increasing the cell cost (note that the cathode is around 1/3 of the total battery cost) 6 ."
10/1038_s42004_020_0257_6_understanding_the_redox_process_upon,"The P2 type structure on the other hand has an open path for sodium ions, where they diffuse through an open square surrounded by four oxide ions 3 ."
10/1038_s42004_022_00628_0_role_of_the_voltage_window,"Indeed, exsitu electronic microscopy analysis -scanning electronic microscopy (SEM) and transmission electronic microscopy (TEM) clearly shows the exfoliation of the P2-type layered oxides after cycling, which has been attributed as one of the causes of the poor capacity retention of P2-Na 2/3 [Fe 1/2 Mn 1/2 ]O 2 25,26 ."
10/7251_comen2201001m_the_novelties_in_the_development,"Hard carbons are a particular kind of carbon, composed of statistically oriented micron-sized graphite domains leaving many intercrystalline pores of various dimensions. (Figure 1)."
10/54097_hset_v71i_12703_study_on_electrolyte_of_low,In a recent exploration delving into the intricate interaction of sodium-ion concentration and the temperature alteration involved with the electrochemical functioning of Na∥Na[FSI]-[N-methyl-Npropylpyrrolidinium (C3C1pyrr)] [FSI]∥NaCrO2 half-cells.
10/1038_s41598_024_62939_7_exploring_affinity_between_organic_probes,"To further assess the adsorption contribution of the transition metals present in the lattice, a wider range of Prussian Blue Analogues can be studied in the future."
10/1039_c5ta10568d_inexpensive_colloidal_snsb_nanoalloys_as,Standard liquid electrolyte formulations were used: LiPF 6 in EC:DMC for Li-ion and NaClO 4 in PC for Na-ion cells.
10/1039_d4ta03554b_synthesis_and_characterization_of_a,"For full-cell fabrication, hard carbon anodes were prepared by mixing hard carbon (HC) (KURANODE™, Kuraray, Japan) with carboxymethyl cellulose (CMC) (Imerys) binder in ∼6 mL deionized water per gram in a 95 : 5 ratio by weight."
10/1039_d5se00172b_chemically_prelithiatedsodiated_reduced_graphene_oxideantimony,This suggests the presence of numerous electrochemically active sites capable of accommodating lithium/sodium ions.
10/1039_d0ee01363c_a_revised_mechanistic_model_for,"Here, ex situ 23 Na solid-state NMR and total scattering studies on a systematically tuned series of hard carbons revealed the formation of increasingly metallic sodium clusters in direct correlation to the growing pore size, occurring only in samples which exhibited a low voltage plateau."
10/1039_d0ta06024k_an_epoxyreinforced_ceramic_sheet_as,"A NASICON ceramic solid electrolyte 11 was used as the oxide-based solid electrolyte, and epoxy-NASICON solid electrolyte pellets were prepared by filling the internal pores with an epoxy-resin polymer material 26 , thereby confirming the possibility of using the electrolyte in an NIB."
10/1038_s41467_019_10551_z_tailoring_sodium_intercalation_in_graphite,"In addition, the electrochemical stability of electrolytes used in this work was examined in Supplementary Fig. 12, which indicated that no significant oxidative reaction was observed up to 4.5 V 37,38 , ensuring their suitable application in Na-ion full batteries."
10/7251_comen2201001m_the_novelties_in_the_development,"Another type of water, the zeolitic one also exists in these compounds, occupying the sites necessary for sodium-ion intercalation."
10/1007_s40820_023_01082_w_interface_engineering_of_fe7s8fes2_heterostructure,"The as-prepared Fe 7 S 8 /FeS 2 /NCNT heterostructures inherit substantial lattice defects and sufficient buffer space offered by the NCNT, which endow the Fe 7 S 8 / FeS 2 /NCNT electrode with high sodium storage activity, rapid ionic diffusion kinetics, and excellent electrochemical reversibility."
10/1039_d0ta09553b_probing_the_charged_state_of,"However, in some cases, it is possible to obtain the P3type phase through utilisation of lower sintering temperatures as shown in Fig. 7. 16 Similar to P2 and O3-type phases, doping may also help to improve the performance of P3-type layered oxides."
10/1038_srep35620_micronano_structure_hard_carbon_as,"We chose filter paper as the carbon precursor in part owing to the merits of waste reuse and that the derived carbon fiber is suitable for Na-ion storage 25,51,52 ."
10/1007_s10668_020_00891_y_comparative_life_cycle_assessment_of,"Since the production of hard carbons has great environmental impact (Peters et al. 2016), the sustainability of the SIB technology calls for a careful selection of the electrode materials and their preparation methods (Peters et al. 2016)."
10/1007_s41918_024_00215_y_recent_progress_in_sodiumion_batteries,"The way sodium interacts with hard carbon is mainly divided into three ways, namely adsorption at the surface active site, filling similar adsorption nanopore and embedding appropriate layer spacing."
10/1038_s41467_022_30113_0_entropy_and_crystalfacet_modulation_of,"The average D Na+ for both samples are around 10 -8 cm 2 s -1 in the low and middle voltage region (2.0-4.05 V) during either charging or discharging, where the charge compensation is mainly contributed by the cationic redox (Ni 2+ /Ni 3+ , Mn 3+ /Mn 4+ , and Cu 2+ / Cu 3+ )."
10/20517_energymater_2024_06_recent_advances_in_alloying_anode,"In this regard, many optimizations in electrolyte, binder, structural, and surface engineering are necessary to cope with challenges alloying SIB anodes face."
10/1039_d0ma00029a_a_square_channel_vanadium_phosphite,"The Na-ion cells, on the other hand, were cycled between 1.75 to 4.5 V in a hybrid cell starting with a Li-containing host."
10/15826_chimtech_2023_10_4_19_novel_direct_synthetic_route_of,"In this study, we synthesized a 2D Prussian blue analogue, nanocrystals of copper hexacyanoferrate (CuHCF), via a facile stepwise route involving a modified copper substrate of Cu(OH)2 nanorods that was used for the formation of two-dimensional CuHCF crystals."
10/1007_s40820_020_00587_y_from_micropores_to_ultramicropores_inside,"To further explore the sodium-ion storage mechanism in the plateau region, ex situ 23 Na MAS NMR measurements were conducted."
10/1007_s40820_025_01742_z_transformative_effect_of_li_salt,Figure 4b demonstrates the cycle number-dependent voltage profiles obtained from hard carbon/ O3-type positive electrode pouch cells.
10/1039_d4ra03616f_preparation_of_znsub3subnbsub2subosub8sub_anode_material,"For lithium-ion batteries, the electrolyte was composed of 1.0 mol L -1 LiPF 6 solution in a mixture (1 : 1 : 1, in vol%) of ethylene carbonate (EC), diethyl carbonate (DEC), and ethyl methyl carbonate (EMC). 1.0 mol L -1 NaPF 6 in diglyme was used as electrolyte for sodium-ion batteries."
10/1039_d1sc05715d_synergetic_stability_enhancement_with_magnesium,The conventional P2-type cathode material Na 0.67 Ni 0.33 Mn 0.67 O 2 suffers from an irreversible P2-O2 phase transition and serious capacity fading during cycling.
10/1016_j_jpcs_2024_112013_tuning_the_porosity_of_hard,"By this way, argon and decomposition gases such as CO or CO 2 are eliminated from the atmosphere of the furnace which avoids the activation of the elaborated hard carbons and an undesired increase in the specific surface area."
10/1039_d4sc06549b_breakage_of_the_dense_structure,"Sodium metal foil, glass bers and 1 M NaPF 6 in EC : DEC (v/v 1 : 1) were applied as the counter electrode, separator and electrolyte, respectively."
10/1007_s42114_025_01274_5_aromatic_polyaminegrafted_and_nitrogendoped_graphene,"As shown in Figs. 6 andS16, Na + adsorption energies on bare graphene surfaces are very weak (≈ -0.4 eV) at different sites (insets 1-3), indicating the failure of enhancing sodium storage."
10/1186_s44147_025_00668_y_review_of_thermal_runaway_risks,"Research is needed to design and test protective layers or strategies that reduce reactivity and dendrite growth while ensuring thermal stability, making sodium metal anodes safer for SIB applications."
10/1039_c6ra27212f_millefeuille_shaped_hard_carbons_derived,"Polyacrylonitrile (PAN), polyvinyl chloride (PVC) and polyvinylpyrrolidone (PVP) are widely used in electrospinning to make uniform nanobers/hollow nanowires. In our previous work, 34 hard carbon prepared through pyrolysis of PVC nanobers can achieve an initial reversible capacity of 271 mA h g À1 and retain 215 mA h g À1 aer 120 cycles at the current of 12 mA g À1 ."
10/1039_d5eb00121h_lowtemperature_sodiumion_batteries_challenges_engineering,"The introduction of fluorinated ether solvents into carbonate systems has been shown to reduce solvation energy, enhance electrolyte stability, and support high-capacity retention at extremely low temperatures. 103,104 These innovations contribute to the development of robust low-temperature SIB electrolyte systems with improved cycle life and fast-charging capabilities."
10/1007_s40820_025_01706_3_tunable_platform_capacity_of_metalorganic,The realization of controllable voltage plateau and plateau capacity is conducive to the reduction of the risk factor in the operation of sodium-ion energy storage devices and the improvement of their energy/power density.
10/5109_2547345_cathode_properties_of_na3mpo4co3_m,"For the first time, the cathode properties of these compounds were evaluated for Na-ion batteries."
10/1039_d4sc01395f_pdoped_spherical_hard_carbon_with,"Besides, GITT and in situ Raman imply that phosphorus species can elevate the diffusion coefficient of Na + between microcrystalline interlayers to facilitate the diffusion-controlled Na + insertion process and the sodium storage mechanism model may conform to ""adsorption, intercalation and pore lling""."
10/3389_fenrg_2019_00028_roles_of_ti_in_electrode,"It has a unique structure that prevents interaction with H 3 O + , which is useful as a cathode or anode for non-aqueous and aqueous sodium-ion batteries (Whitacre et al., 2010;Hosono et al., 2012)."
10/4191_kcers_2018_55_4_07_conversionalloying_anode_materials_for_naion,"To date, the possible depletion of lithium resources has become relevant, giving rise to the interest in Na-ion batteries (NIBs) as promising alternatives to LIBs."
10/1039_c4ee03361b_highperformance_symmetric_sodiumion_batteries_using,"Also, Na0.8Ni0.4Ti0.6O2 shows good cycle performance，and the capacity still maintains 47 mAh g -1 after 250 cycles, the corresponding capacity retention is 75%, and the Coulombic efficiency is close to 100% except for the first cycle."
10/1007_s40820_023_01232_0_highentropy_layered_oxide_cathode_enabling,Layered O3-type Na x TMO 2 displays more complex phase transitions in comparison with its Li analogs due to larger Na + ions associated with charge ordering and the ordering arrangement between Na + and vacancies .
10/1038_s41598_019_52006_x_natural_biomass_derived_hard_carbon,"Four different hard carbons were synthesized from KOH activated banana stem (KHC), phosphoric acid treated banana stem derived carbons (PHC), corn-cob derived (CHC) and potato starch derived (SHC), and further tested as supercapacitor electrodes."
10/1038_s41467_023_39637_5_revealing_the_closed_pore_formation,"Here, we employ waste woodderived hard carbon as a template to systematically establish the formation mechanisms of closed pores and their effect on sodium storage performance."
10/1039_d1ma00731a_insights_into_the_diverse_precursorbased,Huang et al. 79 reported the four-stage mechanism model for 3-D hierarchical porous hard carbon for SIBs.
10/1038_s41467_025_61065_w_inhibiting_interlayer_gliding_in_transition,"Moreover, the P2/P3-NaMNO retains its crystalline structure and morphology after cycling (Supplementary Figs. 23,24)."
10/1039_d0ra03212c_peatderived_hard_carbon_electrodes_with,"This is due to KOH and HCl treatment steps, during which the material might have become porous to an extent that is disruptive for sodium storage."
10/1039_d5ee02287h_future_energy_demand_for_automotive,"In general, processes need to be developed for SIBs that are tailored for SIB recycling to be competitive in terms of CED of battery cells based on secondary materials."
10/1039_d0ee01363c_a_revised_mechanistic_model_for,"In this work, we prepared a series of carbons with systematically tuned pore size, degree of defects and graphitic structure to understand important fundamentals of sodium storage behaviour."
10/1039_c9se00427k_a_modeling_framework_to_assess,LiNi 1/3 Co 1/3 Mn 1/3 O 2 vs. graphite and NaNi 1/3 Co 1/3 Mn 1/3 O 2 vs. hard carbon) our ndings suggest that NIBs need further improvement in order to become competitive with LIBs in terms of the three metrics assessed.
