doi,ss_id,title,year,abstract,citations,is_oa,pdf_url,source
10.1002/adma.201904427,cb193e29311be5026afc14e0f09797578b464341,High‐Voltage Aqueous Na‐Ion Battery Enabled by Inert‐Cation‐Assisted Water‐in‐Salt Electrolyte,2019.0,"Water‐in‐salt (WiS) electrolytes provide a new pathway to widen the electrochemical window of aqueous electrolytes. However, their formulation strongly depends on the solubility of the chosen salts, imposing a stringent restriction on the number of possible WiS systems. This issue becomes more severe for aqueous Na‐ion batteries (ANIBs) owing to the relatively lower solubility of sodium salts compared to its alkaline cousins (Li, K, and Cs). A new class of the inert‐cation‐assisted WiS (IC‐WiS) ",258,False,,semantic_scholar
10.1002/anie.201206854,d4cec59dcd357a24c0c9c5fbcec67b099ac85b16,A superior low-cost cathode for a Na-ion battery.,2013.0,,787,False,,semantic_scholar
10.1021/acs.jpclett.0c00010,7cbbf45b5699869fd587059cd9b6fae43efd8e28,Yttrium-Sodium Halides as Promising Solid-State Electrolytes with High Ionic Conductivity and Stability for Na Ion Battery.,2020.0,"All-solid-state sodium-ion batteries (ASIBs) are promising candidates for large-scale energy storage applications. To build such a battery system, efficient solid-state electrolytes (SSEs) with high sodium ionic conductivity at room temperature and good electrochemical stability as well as interface compatibility are required. In this work, using density functional theory combined with molecular dynamics simulation and phase diagram, we have studied the potential of yttrium halide-based material",74,False,,semantic_scholar
10.1016/j.ensm.2018.06.003,05607914d1d946afd09ed0a447fdfebe2e5cb6d4,Na2Mn3+0.3Mn4+2.7O6.85: A cathode with simultaneous cationic and anionic redox in Na-ion battery,2018.0,"Abstract Here we report a high-capacity cathode, Na2Mn3+0.3Mn4+2.7O6.85, based on simultaneous cationic (Mn4+/Mn3+) and anionic (O2-/(O2)n-) redox process in Na-Mn-O system for Na-ion batteries (NIBs). An obvious voltage plateau at ~ 4.2 V vs. Na+/Na is reversibly presented during Na+ deinsertion/insertion demonstrated by XPS analysis of the participation of oxygen redox. This cathode delivers ~ 213 mA h g-1 in the voltage range of 1.5–4.5 V composed of two voltage plateaus from both cationic an",41,False,,semantic_scholar
10.1126/sciadv.1501038,583c25859529313551dc4a7334fe2af74f03f5be,Environmentally-friendly aqueous Li (or Na)-ion battery with fast electrode kinetics and super-long life,2016.0,"Environmentally-friendly aqueous Li (or Na)-ion battery with super-long life is built for large-scale energy storage. Current rechargeable batteries generally display limited cycle life and slow electrode kinetics and contain environmentally unfriendly components. Furthermore, their operation depends on the redox reactions of metal elements. We present an original battery system that depends on the redox of I−/I3− couple in liquid cathode and the reversible enolization in polyimide anode, accomp",275,True,https://advances.sciencemag.org/content/advances/2/1/e1501038.full.pdf,semantic_scholar
10.1016/j.electacta.2019.135533,2ba01a4e74e8289faf78de403c5523a43ebee160,A low-defect and Na-enriched Prussian blue lattice with ultralong cycle life for sodium-ion battery cathode,2020.0,"Abstract Prussian blue compounds have been considered as attractive candidate cathodes for sodium ion battery (SIB) due to open channel structure, tunable chemical compositions and potential high capacity. However, their low capacity utilization and insufficient cyclability have hindered their large-scale applications. In this work, a series of Na-enrich PB lattices (NaxFe[Fe(CN)6]1-y · zH2O) with different contents of [Fe(CN)6] vacancies and coordinated water are synthesized to investigate the ",93,False,,semantic_scholar
10.1021/acs.chemmater.0c01582,d50a02a9d7222ca14eec12a2269b5e587d3cb2a6,Design Principles for Aqueous Na-Ion Battery Cathodes,2020.0,"Here, we develop design rules for aqueous sodium-ion battery cathodes through a comprehensive density functional theory study of the working potential and aqueous stability of known cathode materia...",34,True,https://doi.org/10.1021/acs.chemmater.0c01582.s001,semantic_scholar
10.1039/c7ta04515h,57503f07d2fc13bb4772d35f2ca29b47b72c181d,P2-type transition metal oxides for high performance Na-ion battery cathodes,2017.0,,84,False,,semantic_scholar
10.1021/ja406016j,80b378997bf804510b15960cd18b5ab2b97150ab,A new high-energy cathode for a Na-ion battery with ultrahigh stability.,2013.0,,394,False,,semantic_scholar
10.1016/j.electacta.2016.05.028,a90108804887faef90b8d9bc0f2caa8073050b42,In-situ hydrothermal synthesis of Na3MnCO3PO4/rGO hybrid as a cathode for Na-ion battery,2016.0,,45,False,,semantic_scholar
10.1149/2.0051605jes,f2db23cb4e05b760a481d818e6b57669783784ca,Optimization of Na-Ion Battery Systems Based on Polyanionic or Layered Positive Electrodes and Carbon Anodes,2016.0,"The revival of the Na-ion battery concept has prompted intense research activities toward new Na-based insertion compounds and their implementation in full Na-ion cells. Herein, we report the optimization of full Na-ion cells consisting of either a layered oxide Nax(Fe1/2Mn1/2)O2 or a polyanionic Na3V2(PO4)2F3 cathode associated with a hard carbon anode. From charge/discharge curves collected via 2 or 3-electrode measurements, the charge/discharge profiles of full cells are simulated to evaluate",81,True,https://iopscience.iop.org/article/10.1149/2.0051605jes/pdf,semantic_scholar
10.1039/c6ee01093h,ef1ac5ef24748cd49a92189e07caf4360642807f,NaFe2PO4(SO4)2: a potential cathode for a Na-ion battery,2016.0,Hexagonal Na3Zr2PO4(SiO4)2 is a well-known fast Na+ conductor commonly referred to as NASICON. The low cost and wide availability of sodium invites exploration of Na+-insertion cathodes with the hexagonal NASICON framework structure. Here we report a low-temperature synthesis of NaFe2PO4(SO4)2 with the same host framework as NASICON and its performance as the cathode of a Na/Na1+xFe2PO4(SO4)2 cell operating on the Fe3+/Fe2+ redox couple. The cell provides a single-phase reaction having a capacit,55,False,,semantic_scholar
10.1021/acs.chemmater.6b01989,5a3b92b02560fe10c68a5ee03df9570e7c480404,Structure and Dynamics of Fluorophosphate Na-Ion Battery Cathodes,2016.0,,87,True,https://doi.org/10.1021/acs.chemmater.6b01989,semantic_scholar
10.1002/smll.202305019,07190f72e3ebc2bacb657d93dc46a37cf5314cf2,Defensive and Ion Conductive Surface Layer Enables High Rate and Durable O3-type NaNi1/3 Fe1/3 Mn1/3 O2 Sodium-Ion Battery Cathode.,2023.0,"Na-based layered transition metal oxides with an O3-type structure are considered promising cathodes for sodium-ion batteries. However, rapid capacity fading, and poor rate performance caused by serious structural changes and interfacial degradation hamper their use. In this study, a NaPO3 surface modified O3-type layered NaNi1/3 Fe1/3 Mn1/3 O2 cathode is synthesized, with improved high-voltage stability through protecting layer against acid attack, which is achieved by a solid-gas reaction betw",62,False,,semantic_scholar
10.1038/srep02671,3b96020ed5530b7fc2cdfe27b94212e345adc7e4,"A low cost, all-organic Na-ion Battery Based on Polymeric Cathode and Anode",2013.0,"Current battery systems have severe cost and resource restrictions, difficultly to meet the large scale electric storage applications. Herein, we report an all-organic Na-ion battery using p-dopable polytriphenylamine as cathode and n-type redox-active poly(anthraquinonyl sulphide) as anode, excluding the use of transition-metals as in conventional electrochemical batteries. Such a Na-ion battery can work well with a voltage output of 1.8 V and realize a considerable specific energy of 92 Wh kg−",242,True,https://www.nature.com/articles/srep02671.pdf,semantic_scholar
10.1002/aenm.201702504,1891c9ada21c0d37f48bcf523928ed6b952d1e05,A Practicable Li/Na‐Ion Hybrid Full Battery Assembled by a High‐Voltage Cathode and Commercial Graphite Anode: Superior Energy Storage Performance and Working Mechanism,2018.0,,140,False,,semantic_scholar
10.1021/acs.chemmater.5b02299,868f11f8377387590d33ce810e0141441d517839,Explaining Performance-Limiting Mechanisms in Fluorophosphate Na-Ion Battery Cathodes through Inactive Transition-Metal Mixing and First-Principles Mobility Calculations,2015.0,,84,False,,semantic_scholar
10.1002/aenm.201600389,76ec875230238843582a9810c303be1f1e913954,Layer‐by‐Layer Na3V2(PO4)3 Embedded in Reduced Graphene Oxide as Superior Rate and Ultralong‐Life Sodium‐Ion Battery Cathode,2016.0,,291,False,,semantic_scholar
10.1016/j.electacta.2014.09.081,7c5360bff062bf19b9f6e98aedbaf746aeff001a,High capacity and low cost spinel Fe3O4 for the Na-ion battery negative electrode materials,2014.0,,150,False,,semantic_scholar
10.1039/c3cc42172d,04eb1b14d3c95c966cfe2f9db97b8d769f8d1e4e,Exploration of NaVOPO4 as a cathode for a Na-ion battery.,2013.0,,91,False,,semantic_scholar
10.1016/j.jcis.2014.03.028,761e57d362130abbe6f8c5c763e47796811bceb8,Facile synthesis of V6O13 micro-flowers for Li-ion and Na-ion battery cathodes with good cycling performance.,2014.0,,55,False,,semantic_scholar
10.1016/j.jcis.2014.04.029,bfc0f9159febe0037bdb3d7b52165c7fe335f7e8,Facile synthesis of ammonium vanadium oxide nanorods for Na-ion battery cathodes.,2014.0,,31,False,,semantic_scholar
10.1039/c5ta08857g,18dbf88f83e5747a441020ed57e48d62bc5b40af,Na-birnessite with high capacity and long cycle life for rechargeable aqueous sodium-ion battery cathode electrodes,2016.0,,52,False,,semantic_scholar
10.1149/2.0291412jes,3e4b829c7b245271cd7aaedd41afff6955098f4b,Structure and Electrochemistry of NaxFexMn1-xO2 (1.0 ≤ x ≤ 0.5) for Na-Ion Battery Positive Electrodes,2013.0,,57,False,,semantic_scholar
10.1016/j.nanoen.2019.104357,2e6b0f4096741dfa7dad11b65d3b79d26eddf0ba,Self-assembled NaV6O15 flower-like microstructures for high-capacity and long-life sodium-ion battery cathode,2020.0,"Abstract Na-ion batteries are one of the promising alternative energy storage devices for current Li-ion batteries due to the low cost and similar electrochemistry. The most critical challenge for Na-ion batteries is to develop high-capacity and long-lifespan electrode materials which are comparable to Li-ion batteries. Herein, we use a simple method to prepare nanoflake-constructed microflowers layered sodium vanadium oxide (NaV6O15) via self-assembled process. As cathode material of sodium ion",39,False,,semantic_scholar
10.1016/j.nanoen.2019.03.063,d661bb5c5f535393566cdf09d59cec76527fe471,Investigation of Na3V2(PO4)2O2F as a sodium ion battery cathode material: Influences of morphology and voltage window,2019.0,"Abstract Na-ion batteries (NIBs) offer a low-cost solution for energy storage applications. However, the cathode materials of NIBs are still limited by their low energy density, exhibiting either small capacity or low operation voltage. In this work we explored a high-voltage cathode material, vanadium fluorophosphate Na3V2(PO4)2O2F. We prepared the material in both nano-size and micro-size by a hydrothermal method, adopting ethylene glycol and water as the solvent, respectively. The morphology ",82,False,,semantic_scholar
10.1002/adma.202402005,d847d2807a8b02e2d0ab692b4a2cc803fec8d010,Toward Ultrahigh Rate and Cycling Performance of Cathode Materials of Sodium Ion Battery by Introducing a Bicontinuous Porous Structure,2024.0,"The emerging sodium‐ion batteries (SIBs) are one of the most promising candidates expected to complement lithium‐ion batteries and diversify the battery market. However, the exploitation of cathode materials with high‐rate performance and long‐cycle stability for SIBs has remained one of the major challenges. To this end, an efficient approach to enhance rate and cycling performance by introducing an ordered bicontinuous porous structure into cathode materials of SIBs is demonstrated. Prussian b",51,False,,semantic_scholar
10.1002/adfm.201600747,169d33cb667093e269f76fc38cb4541f992eaf16,Prussian Blue@C Composite as an Ultrahigh‐Rate and Long‐Life Sodium‐Ion Battery Cathode,2016.0,,374,False,,semantic_scholar
10.1021/acsami.9b04849,60156d4af2f16b4beac7ecab8b51b7936c1e3617,Polyethylene glycol (PEG)-Na+ Interface of Vanadium Hexacyanoferrate Cathode for Highly Stable Rechargeable Aqueous Sodium-Ion Battery.,2019.0,"Vanadium hexacyanoferrate (VHCF) with open-framework crystal structure is promising cathode materials for rechargeable aqueous metal-ion batteries owing to its high electrochemical performance and easy synthesis. In this paper, vanadium hexacyanoferrate cathodes was firstly used for constructing rechargeable aqueous sodium-ion batteries (VHCF/WO3), and tested in the new-type electrolyte (NaP-4.6) consisting of polyethylene glycol (PEG)/H2O/NaClO4 electrolyte with a low H+ concentration (molar ra",47,False,,semantic_scholar
10.1021/acs.inorgchem.8b00284,04d32f1f20828f49979c72ce6ae4832afb257137,Different Effects of Al Substitution for Mn or Fe on the Structure and Electrochemical Properties of Na0.67Mn0.5Fe0.5O2 as a Sodium Ion Battery Cathode Material.,2018.0,"P2-type layered oxides based on the elements Fe and Mn have attracted great interest as sodium ion battery (SIB) cathode materials owing to their inexpensive metal constituents and high specific capacity. However, they suffer from rapid capacity fading and complicated phase transformations. In this study, we modulate the crystal structure and optimize the electrochemical performances of Na0.67Mn0.5Fe0.5O2 by Al doping for Mn or Fe, respectively, and the roles of Al in the enhancement of the rate",103,True,https://figshare.com/articles/journal_contribution/Different_Effects_of_Al_Substitution_for_Mn_or_Fe_on_the_Structure_and_Electrochemical_Properties_of_Na_sub_0_67_sub_Mn_sub_0_5_sub_Fe_sub_0_5_sub_O_sub_2_sub_as_a_Sodium_Ion_Battery_Cathode_Material/6176879/1/files/11184485.pdf,semantic_scholar
10.1016/j.nanoen.2018.12.087,77441222dcadc3594cd30b72cfd273cfea6d9d65,Revealing the atomistic origin of the disorder-enhanced Na-storage performance in NaFePO4 battery cathode,2019.0,"Abstract Among the various types of cathode materials for sodium ion batteries, NaFePO4 attracts much attention owing to its high theoretical capacity (155 mA h g−1), low cost, high structural stability, and non-toxicity. Nevertheless, the NaFePO4 with maricite structure, thermodynamically stable phase, has been considered as electrochemically inactive for sodium-ion storage. In this work, we succeeded in tuning the degree of disorder in NaFePO4 cathode material by a mechanochemical route to enh",105,True,https://vbn.aau.dk/files/312162205/Revealing_the_atomistic_origin_of_the_disorder_enhanced_Na_stora_2018_Nano_E.pdf,semantic_scholar
10.1002/anie.201804130,b385f419da6f405bb6b65b173de23c012a646ece,An Abnormal 3.7 Volt O3-Type Sodium-Ion Battery Cathode.,2018.0,"Layered O3-type sodium oxides (NaMO2 , M=transition metal) commonly exhibit an O3-P3 phase transition, which occurs at a low redox voltage of about 3 V (vs. Na+ /Na) during sodium extraction and insertion, with the result that almost 50 % of their total capacity lies at this low voltage region, and they possess insufficient energy density as cathode materials for sodium-ion batteries (NIBs). Therefore, development of high-voltage O3-type cathodes remains challenging because it is difficult to ra",130,False,,semantic_scholar
10.1016/j.matchemphys.2016.01.033,750accf6ce68394c8d58b42b81d246db0c405136,Investigation of metastable Na2FeSiO4 as a cathode material for Na-ion secondary battery,2016.0,,51,False,,semantic_scholar
10.1039/c6ta08505a,7f66b2bfacf87b5a99c5bacbafdbe40f69d3537b,A long cycle-life and high safety Na+/Mg2+ hybrid-ion battery built by using a TiS2 derived titanium sulfide cathode,2017.0,,40,False,,semantic_scholar
10.1016/j.jpowsour.2017.05.069,0e6e725729509ebcfb9c39ddb86e7970e80cca1c,Na 2 MnSiO 4 as an attractive high capacity cathode material for sodium-ion battery,2017.0,,72,False,,semantic_scholar
10.1021/am405970s,5305be696f75c51504fb96e00b78b44b23350369,Free-standing Na(2/3)Fe(1/2)Mn(1/2)O(2)@graphene film for a sodium-ion battery cathode.,2014.0,,81,False,,semantic_scholar
10.1002/admi.201500740,8c75b040fc1a6d3513e124dc2ce07fcdbfe8e029,"High‐Rate, Durable Sodium‐Ion Battery Cathode Enabled by Carbon‐Coated Micro‐Sized Na3V2(PO4)3 Particles with Interconnected Vertical Nanowalls",2016.0,,53,False,,semantic_scholar
10.1002/anie.202216174,81ce7c7a52d7212758a2f7eff228e1e3d609d52a,Revealing the Origin of Transition-Metal Migration in Layered Sodium-Ion Battery Cathodes: Random Na Extraction and Na-Free Layer Formation.,2023.0,"Cation migration often occurs in layered oxide cathodes of lithium-ion batteries due to the similar ion radius of Li and transition metals (TMs). Although Na and TM show a big difference of ion radius, TMs in layered cathodes of sodium-ion batteries (SIBs) can still migrate to Na layer, leading to serious electrochemical degeneration. To elucidate the origin of TM migration in layered SIB cathodes, we choose NaCrO2, a typical layered cathode suffering from serious TM migration, as a model materi",81,False,,semantic_scholar
10.1038/s41467-021-22523-3,5fa79643194696f46543fb9fb6bdca71213aa083,Tuning local chemistry of P2 layered-oxide cathode for high energy and long cycles of sodium-ion battery,2021.0,"Layered transition-metal oxides have attracted intensive interest for cathode materials of sodium-ion batteries. However, they are hindered by the limited capacity and inferior phase transition due to the gliding of transition-metal layers upon Na+ extraction and insertion in the cathode materials. Here, we report that the large-sized K+ is riveted in the prismatic Na+ sites of P2-Na0.612K0.056MnO2 to enable more thermodynamically favorable Na+ vacancies. The Mn-O bonds are reinforced to reduce ",344,True,https://www.nature.com/articles/s41467-021-22523-3.pdf,semantic_scholar
10.1039/d2ra03601k,a2512baa1335b9c8360307624253becc6d993013,Transition metal oxides as a cathode for indispensable Na-ion batteries,2022.0,"The essential requirement to harness well-known renewable energy sources like wind energy, solar energy, etc. as a component of an overall plan to guarantee global power sustainability will require highly efficient, high power and energy density batteries to collect the derived electrical power and balance out variations in both supply and demand. Owing to the continuous exhaustion of fossil fuels, and ever increasing ecological problems associated with global warming, there is a critical requir",43,True,https://pubs.rsc.org/en/content/articlepdf/2022/ra/d2ra03601k,semantic_scholar
10.1002/adfm.202414627,c4581c266f48dfc102debd12091e2408c44ea6e3,Refining O3‐Type Ni/Mn‐Based Sodium‐Ion Battery Cathodes via “Atomic Knife” Achieving High Capacity and Stability,2024.0,"The O3‐type NaNi0.5Mn0.5O2 (NM) layered cathode in sodium ion batteries (SIBs) undergoes structural distortion and capacity degradation during cycling, which seriously hinders its practical application. Herein, lanthanum (La) is employed as a dopant in O3‐NaNi0.5Mn0.5‐xLaxO2 (NML) cathodes, which triggered an “atomic knife” effect, reducing particle size, and stabilizing crystal structure. The larger La ions generated structural strain during grain growth at high temperatures, hindering the move",37,False,,semantic_scholar
10.1002/cey2.546,34c105100c88ff710d4ab340064d849c0d9a95a7,Low‐temperature performance of Na‐ion batteries,2024.0,"Sodium‐ion batteries (NIBs) have become an ideal alternative to lithium‐ion batteries in the field of electrochemical energy storage due to their abundant raw materials and cost‐effectiveness. With the progress of human society, the requirements for energy storage systems in extreme environments, such as deep‐sea exploration, aerospace missions, and tunnel operations, have become more stringent. The comprehensive performance of NIBs at low temperatures (LTs) has also become an important consider",51,True,https://doi.org/10.1002/cey2.546,semantic_scholar
10.1002/adma.202312982,8bc3d4ab2ba7eebc087dc52a5345eb914fbf7e20,Multiple Cations Nanoconfinement in Ultrathin V2O5 Nanosheets Enables Ultrafast Ion Diffusion Kinetics Toward High‐performance Zinc Ion Battery,2024.0,"Nanoconfinement of cations in layered oxide cathode is an important approach to realize advanced zinc ion storage performance. However, thus far, the conventional hydrothermal/solvothermal route for this nanoconfinement has been restricted to its uncontrollable phase structure and the difficulty on the multiple cation co‐confinement simultaneously. Herein, this work reports a general, supramolecular self‐assembly of ultrathin V2O5 nanosheets using various unitary cations including Na+, K+, Mg2+,",90,False,,semantic_scholar
10.1002/adma.202402702,da778fed74c77dc993fddb1ef40c29aaf5b38c0c,Chlorination Design for Highly Stable Electrolyte toward High Mass Loading and Long Cycle Life Sodium‐Based Dual‐Ion Battery,2024.0,"Sodium‐based dual ion batteries (SDIBs) have garnered significant attention as novel energy storage devices offering the advantages of high‐voltage and low‐cost. Nonetheless, conventional electrolytes exhibit low resistance to oxidation and poor compatibility with electrode materials, resulting in rapid battery failure. In this study, for the first time, a chlorination design of electrolytes for SDIB, is proposed. Using ethyl methyl carbonate (EMC) as a representative, chlorine (Cl)‐substituted ",65,False,,semantic_scholar
10.1002/asia.201403134,b04925b74e6bd9764ae777fba973ec17324793b1,Electrochemical and structural study of layered P2-type Na(2/3)Ni(1/3)Mn(2/3)O2 as cathode material for sodium-ion battery.,2015.0,,96,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/asia.201403134,semantic_scholar
10.1021/acsami.0c21081,8ba5796e244d8568f7dde4dcb0c16a1782163b07,High Stability and Long Cycle Life of Rechargeable Sodium-Ion Battery Using Manganese Oxide Cathode: A Combined Density Functional Theory (DFT) and Experimental Study,2021.0,"Sodium-ion batteries (SIBs) can develop cost-effective and safe energy storage technology for substantial energy storage demands. In this work, we have developed manganese oxide (α-MnO2) nanorods for SIB applications. The crystal structure, which is crucial for high-performance energy storage, is examined systematically for the metal oxide cathode. The intercalation of sodium into the α-MnO2 matrix was studied using the theoretical density functional theory (DFT) studies. The DFT studies predict",84,True,https://pubs.acs.org/doi/pdf/10.1021/acsami.0c21081,semantic_scholar
